old_circuit_id,new_circuit_id,tipo,status,final_status,modem,plan,mac_address,city,latitude,longitude,state,terminal_id,created_at,terminated_at
AMSI001800,AMSF001076,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BCBE5E4C,Tefé,-3.4028046131134038,-64.6153793334961,AM,FTB-018567,2022-05-13,2027-05-13
AMSI001775,AMSF001067,indigena,Migração,Ativo,SB2MODEM,0039-GESAC2 200,00A0BC35C8CC,Tefé,-3.3544304370880127,-64.63906860351562,AM,FTB-018898,2022-05-18,2027-05-18
AMSI001784,AMSF001073,indigena,Migração,Ativo,SB2MODEM,0039-GESAC2 200,00A0BC396218,Tefé,-3.4887421131134038,-64.63875579833984,AM,FTB-018413,2022-05-12,2027-05-12
AMSI001782,AMSF001072,indigena,Migração,Ativo,SB2MODEM,0039-GESAC2 200,00A0BC46C9DD,Tefé,-3.478429317474365,-64.63208770751953,AM,FTB-018411,2022-05-12,2027-05-12
AMSI001908,AMSF001079,indigena,Migração,Ativo,SB2MODEM,0039-GESAC2 200,00A0BC36224F,Tefé,-3.4192166328430176,-64.8075180053711,AM,FTB-019232,2022-05-24,2027-05-24
AMSI001774,AMSF001066,indigena,Migração,Ativo,SB2MODEM,0039-GESAC2 200,00A0BC3DFF8C,Tefé,-3.354449987411499,-64.71148681640625,AM,FTB-018895,2022-05-18,2027-05-18
AMSI001844,AMSF001077,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BC4EFCB4,,-10.032221794128418,-67.96722412109375,AM,FTB-018893,2022-05-18,2027-05-18
AMSI001772,AMSF001065,indigena,Migração,Ativo,SB2PLUSMODEM,0041-GESAC2 400 (SB2+),00A0BC5650B0,,-3.600841999053955,-64.29255676269531,AM,FTB-019459,2022-05-26,2027-05-26
AMSI001509,AMSI001509,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC36313A,Barreirinha,-3.303337574005127,-57.01748275756836,AM,FTB-019452,2022-05-26,2027-05-26
AMSI001514,AMSI001514,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC3646FC,Barreirinha,-3.405679702758789,-56.93525314331055,AM,FTB-019493,2022-05-27,2027-05-27
AMSI001842,AMSI001842,indigena,Will Not Migrate,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC3DD0BD,Tefé,-3.3982810974121094,-64.63066101074219,AM,FTB-018897,2022-05-18,2027-05-18
AMSI001766,AMSF001061,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BCA5010C,,-3.166666984558105,-61.48611068725586,AM,FTB-019299,2022-05-25,2027-05-25
AMSI001456,AMSI001456,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC498F0F,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019492,2022-05-27,2027-05-27
AMSI001453,AMSF000624,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BC754A20,Barreirinha,-3.781388998031616,-56.81333160400391,AM,FTB-019771,2022-05-31,2027-05-31
AMSI001451,AMSI001451,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC4AB0B2,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019502,2022-05-27,2027-05-27
AMSI001449,AMSI001449,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC32E8EF,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019450,2022-05-26,2027-05-26
AMSI001447,AMSI001447,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC39AF6B,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019631,2022-05-28,2027-05-28
AMSI001446,AMSI001446,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC375FAF,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019701,2022-05-30,2027-05-30
AMSI001457,AMSI001457,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC41BE4E,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019623,2022-05-28,2027-05-28
AMSI001454,AMSI001454,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC376630,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019624,2022-05-28,2027-05-28
AMSI001452,AMSI001452,indigena,Will Not Migrate,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC48CECC,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019702,2022-05-30,2027-05-30
AMSI001450,AMSI001450,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC3445E6,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019625,2022-05-28,2027-05-28
AMSI001448,AMSI001448,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC317EE3,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019801,2022-05-31,2027-05-31
AMSI001441,AMSI001441,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC3D9AAF,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019641,2022-05-29,2027-05-29
AMSI001440,AMSI001440,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC370EEA,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019353,2022-05-25,2027-05-25
AMSI001443,AMSI001443,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC3A8EF7,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019640,2022-05-29,2027-05-29
AMSI001442,AMSI001442,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC40FB48,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019686,2022-05-30,2027-05-30
AMSI001350,AMSI001350,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC30F13B,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019699,2022-05-30,2027-05-30
AMSI001333,AMSI001333,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC3E99DF,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019006,2022-05-20,2027-05-20
AMSI001286,AMSI001286,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC3A8FF8,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019495,2022-05-27,2027-05-27
AMSI001280,AMSI001280,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC497B6D,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-016665,2022-04-02,2027-04-02
AMSI001254,AMSI001254,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC32D36C,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019354,2022-05-25,2027-05-25
AMSI001257,AMSI001257,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC2F8CB6,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019449,2022-05-26,2027-05-26
AMSI001246,AMSI001246,indigena,Other Providers,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC38F963,Barreirinha,-2.793450117111206,-57.07044982910156,AM,FTB-019448,2022-05-26,2027-05-26
AMSI001485,AMSI001485,indigena,Will Not Migrate,Bloqueados,SB2MODEM,0001-GESAC 10Mbps,00A0BC471DEA,Novo Airão,-2.6214499473571777,-60.9444694519043,AM,FTB-019358,2022-05-25,2027-05-25
TOSI000312,TOSF000142,indigena,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BCAD4728,Tocantinópolis,-6.316807270050049,-47.58050537109375,TO,FTB-019829,2022-06-01,2027-06-01
